;meioambiente_32
"AF";"0,36"
"AL";"0,48"
"DZ";"5,98"
"AS";"0,06"
"AD";"9,25"
"AO";"4,97"
"AI";"99999999999998"
"AG";"0,02"
"AR";"4,28"
"AM";"18,60"
"AW";"0,48"
"AU";"8,72"
"AT";"25,57"
"AZ";"5,80"
"BS";"0,29"
"BH";"0,66"
"BD";"3,15"
"BB";"99999999999998"
"BY";"7,18"
"BE";"14,58"
"BZ";"17,82"
"BJ";"19,82"
"BM";"5,07"
"BT";"35,07"
"BO";"18,77"
"BA";"0,04"
"BW";"29,13"
"BR";"10,22"
"VG";"0,08"
"BN";"29,68"
"BG";"3,32"
"BF";"14,13"
"BI";"4,85"
"KH";"18,32"
"CM";"7,42"
"CA";"4,63"
"CV";"0,01"
"KY";"1,37"
"CF";"17,90"
"TD";"11,68"
"CL";"3,17"
"CN";"14,18"
"CO";"12,34"
"KM";"0,01"
"CG";"4,99"
"CK";"99999999999998"
"CR";"2,80"
"CI";"14,74"
"HR";"5,56"
"CU";"1,44"
"CY";"1,12"
"CZ";"15,18"
"CD";"10,18"
"DK";"15,94"
"DJ";"99999999999998"
"DM";"0,55"
"DO";"11,03"
"EC";"15,31"
"EG";"3,76"
"SV";"0,02"
"GQ";"1,64"
"ER";"2,96"
"EE";"3,55"
"ET";"17,72"
"FO";"99999999999998"
"FK";"0,24"
"FJ";"0,09"
"FI";"13,54"
"FR";"13,69"
"GF";"6,15"
"PF";"99999999999998"
"GA";"3,75"
"GM";"1,21"
"GE";"3,04"
"DE";"27,66"
"GH";"7,79"
"GR";"6,03"
"GL";"22,22"
"GD";"0,03"
"GP";"2,61"
"GU";"5,19"
"GT";"14,62"
"GN";"5,16"
"GW";"10,32"
"GY";"1,27"
"HT";"0,06"
"HN";"7,71"
"HU";"9,45"
"IS";"0,67"
"IN";"2,95"
"ID";"3,71"
"IR";"5,52"
"IQ";"0,05"
"IE";"2,01"
"IL";"6,53"
"IT";"6,87"
"JM";"1,39"
"JP";"2,02"
"JO";"1,90"
"KZ";"2,52"
"KE";"10,04"
"KI";"0,02"
"KP";"1,27"
"KR";"1,87"
"KW";"1,18"
"KG";"6,85"
"LA";"16,60"
"LV";"10,54"
"LB";"0,80"
"LS";"0,53"
"LR";"0,46"
"LY";"0,29"
"LI";"43,82"
"LT";"10,92"
"LU";"29,32"
"MG";"1,02"
"MW";"16,81"
"MY";"7,92"
"MV";"0,03"
"ML";"3,82"
"MT";"0,11"
"MH";"0,04"
"MQ";"11,51"
"MR";"1,07"
"MU";"0,01"
"YT";"99999999999998"
"MX";"3,62"
"FM";"99999999999998"
"MC";"0,27"
"MN";"13,10"
"ME";"2,42"
"MS";"2,46"
"MA";"0,35"
"MZ";"7,91"
"MM";"2,11"
"NA";"8,86"
"NR";"99999999999998"
"NP";"18,57"
"NL";"11,35"
"AN";"1,70"
"NC";"0,22"
"NZ";"2,27"
"NI";"18,68"
"NE";"7,74"
"NG";"10,76"
"NU";"0,02"
"MP";"99999999999998"
"NO";"6,81"
"OM";"3,99"
"PK";"8,02"
"PW";"0,15"
"PA";"4,37"
"PG";"0,65"
"PY";"5,08"
"PE";"4,58"
"PH";"2,40"
"PL";"17,54"
"PT";"1,26"
"PR";"0,59"
"QA";"0,73"
"MD";"1,80"
"RE";"1,67"
"RO";"5,19"
"RU";"8,36"
"RW";"8,78"
"KN";"0,26"
"LC";"0,56"
"VC";"0,46"
"WS";"0,21"
"SM";"99999999999998"
"ST";"99999999999998"
"SA";"28,24"
"SN";"14,24"
"RS";"5,21"
"SC";"0,04"
"SL";"2,61"
"SG";"3,28"
"SK";"19,48"
"SI";"8,61"
"SB";"0,08"
"SO";"0,25"
"ZA";"3,03"
"SS";"12,83"
"ES";"8,56"
"LK";"2,44"
"PS";"99999999999998"
"SD";"1,28"
"SR";"8,49"
"SZ";"4,02"
"SE";"11,13"
"CH";"5,21"
"SY";"0,37"
"TJ";"18,49"
"TH";"11,12"
"MK";"9,21"
"TL";"0,57"
"TG";"8,98"
"TK";"99999999999998"
"TO";"1,51"
"TT";"2,54"
"TN";"0,97"
"TR";"0,17"
"TM";"2,99"
"TC";"3,58"
"TV";"0,01"
"UG";"12,95"
"UA";"3,88"
"AE";"7,27"
"GB";"7,68"
"TZ";"22,82"
"US";"11,86"
"VI";"2,81"
"UY";"1,27"
"UZ";"2,26"
"VU";"0,09"
"VE";"36,67"
"VN";"2,12"
"EH";"99999999999998"
"YE";"0,36"
"ZM";"36,06"
"ZW";"16,90"
