;indicadoressociais_15
"AW";"97.54"
"AF";"39.22"
"AO";"39.43"
"AI";"96.92"
"AL";"97.69"
"AD";"100.00"
"AE";"99.98"
"AR";"94.84"
"AM";"91.58"
"AS";"62.23"
"AG";"87.50"
"AU";"100.00"
"AT";"99.97"
"AZ";"89.35"
"BI";"50.46"
"BE";"99.49"
"BJ";"13.93"
"BF";"22.53"
"BD";"46.92"
"BG";"85.98"
"BH";"100.00"
"BS";"92.01"
"BA";"94.78"
"BY";"94.25"
"BZ";"87.16"
"BM";"99.90"
"BO";"52.61"
"BR";"86.15"
"BB";"96.46"
"BN";"96.33"
"BT";"62.87"
"BW";"59.96"
"CF";"25.09"
"CA";"98.50"
"CH";"99.89"
"CL";"98.50"
"CL";"99.89"
"CN";"75.04"
"CI";"29.93"
"CM";"38.83"
"CD";"19.71"
"CG";"15.01"
"CK";"97.63"
"CO";"84.44"
"KM";"34.17"
"CV";"65.21"
"CR";"97.15"
"CU";"90.82"
"CW";"98.82"
"KY";"95.55"
"CY";"99.37"
"CZ";"99.14"
"DE";"99.22"
"DJ";"51.38"
"DM";"77.89"
"DK";"99.60"
"DO";"82.70"
"DZ";"87.49"
"EC";"86.14"
"EG";"93.17"
"ER";"11.26"
"ES";"99.90"
"EE";"99.61"
"ET";"7.08"
"FI";"99.45"
"FJ";"95.68"
"FK";"100.00"
"FR";"98.65"
"FO";"90.88"
"FM";"99999999999998"
"GA";"40.93"
"GB";"99.11"
"GE";"84.88"
"GH";"14.28"
"GN";"21.95"
"GP";"98.79"
"GM";"41.69"
"GW";"21.47"
"GQ";"74.54"
"GR";"98.96"
"GD";"88.30"
"GL";"99.34"
"GT";"67.36"
"GF";"90.14"
"GU";"90.35"
"GY";"86.16"
"HK";"96.30"
"HN";"79.78"
"HR";"97.47"
"HT";"30.54"
"HU";"97.99"
"ID";"67.89"
"IN";"44.15"
"IE";"92.18"
"IR";"88.29"
"IQ";"85.66"
"IS";"98.78"
"IL";"100.00"
"IT";"99.28"
"JM";"85.37"
"JO";"96.71"
"JP";"100.00"
"KZ";"97.81"
"KE";"29.84"
"KG";"96.59"
"KH";"48.83"
"KI";"39.77"
"KN";"99999999999998"
"KR";"99.89"
"KW";"100.00"
"LA";"72.59"
"LB";"95.36"
"LR";"16.89"
"LY";"99.70"
"LC";"90.91"
"LI";"99.95"
"LK";"94.21"
"LS";"43.79"
"LT";"93.62"
"LU";"97.61"
"LV";"92.86"
"MA";"83.47"
"MC";"100.00"
"MD";"78.40"
"MG";"9.69"
"MV";"95.87"
"MX";"89.22"
"MH";"86.89"
"MK";"90.91"
"ML";"31.27"
"MT";"99.96"
"MM";"64.70"
"ME";"95.91"
"MN";"59.22"
"MP";"78.84"
"MZ";"23.56"
"MR";"44.62"
"MS";"88.75"
"MQ";"99.38"
"MU";"93.15"
"MW";"43.53"
"MY";"99.57"
"YT";"76.88"
"NA";"33.84"
"NC";"100.00"
"NE";"12.94"
"NG";"32.60"
"NI";"76.35"
"NU";"96.77"
"NL";"97.73"
"NO";"98.06"
"NP";"46.13"
"NR";"65.60"
"NZ";"100.00"
"OM";"99.32"
"PK";"58.25"
"PA";"76.87"
"PE";"76.82"
"PH";"74.98"
"PW";"100.00"
"PG";"18.60"
"PL";"98.13"
"PR";"97.16"
"KP";"77.13"
"PT";"99.44"
"PY";"91.22"
"PS";"95.95"
"PF";"96.85"
"QA";"100.00"
"RE";"98.98"
"RO";"81.81"
"RU";"88.79"
"RW";"62.35"
"SA";"100.00"
"SD";"34.59"
"SN";"48.36"
"SG";"100.00"
"SH";"99.89"
"SB";"31.27"
"SL";"14.54"
"SV";"91.13"
"SM";"100.00"
"SO";"16.19"
"PM";"99999999999998"
"RS";"94.64"
"SS";"10.35"
"ST";"40.10"
"SR";"79.22"
"SK";"98.93"
"SI";"99.11"
"SE";"99.30"
"SZ";"58.03"
"SX";"98.72"
"SC";"100.00"
"SY";"92.95"
"TC";"87.99"
"TD";"9.55"
"TG";"13.95"
"TH";"95.01"
"TJ";"95.49"
"TK";"93.07"
"TM";"96.57"
"TL";"44.01"
"TO";"93.47"
"TT";"92.15"
"TN";"93.13"
"TR";"96.37"
"TV";"91.41"
"TZ";"23.53"
"UG";"19.15"
"UA";"95.94"
"UY";"95.67"
"US";"99.97"
"UZ";"100.00"
"VC";"87.18"
"VE";"94.93"
"VG";"96.86"
"VI";"97.60"
"VN";"78.24"
"VU";"53.47"
"WF";"99.12"
"WS";"96.62"
"YE";"59.68"
"ZA";"73.13"
"ZM";"31.11"
"ZW";"38.59"
