;z1
"AF";"65286"
"AL";"2875"
"DZ";"238174"
"AS";"20"
"AD";"47"
"AO";"124670"
"AI";"9"
"AG";"44"
"AR";"278040"
"AM";"2974"
"AW";"18"
"AU";"774122"
"AT";"8387,9"
"AZ";"8660"
"BS";"1388"
"BH";"76,7"
"BD";"14846"
"BB";"43"
"BY";"20760"
"BE";"3053"
"BZ";"2297"
"BJ";"11476"
"BM";"5"
"BT";"3839,4"
"BO";"109858"
"BA";"5121"
"BW";"58173"
"BR";"851577"
"VG";"15"
"BN";"577"
"BG";"11100"
"BF";"27422"
"BI";"2783"
"CV";"403"
"KH";"18104"
"CM";"47544"
"CA";"998467"
"KY";"26,4"
"CF";"62298"
"TD";"128400"
"CL";"75609,6"
"CN";"960000,09"
"HK";"110"
"MO";"2,99"
"CO";"114175"
"KM";"186,1"
"CG";"34200"
"CK";"24"
"CR";"5110"
"CI";"32246"
"HR";"5659"
"CU";"10988"
"CY";"925"
"CZ";"7887"
"KP";"12054"
"CD";"234486"
"DK";"4309"
"DJ";"2320"
"DM";"75"
"DO";"4867"
"EC";"25637"
"EG";"100145"
"SV";"2104"
"GQ";"2805"
"ER";"11760"
"EE";"4523"
"ET";"110430"
"FK";"1217"
"FO";"139,6"
"FJ";"1827"
"FI";"33842"
"FR";"54908,7"
"GF";"8353"
"PF";"400"
"GA";"26767"
"GM";"1130"
"GE";"6970"
"DE";"35714"
"GH";"23854"
"GI";"1"
"GR";"13196"
"GL";"41045"
"GD";"34"
"GP";"170"
"GU";"54"
"GT";"10889"
"GN";"24586"
"GW";"3613"
"GY";"21497"
"HT";"2775"
"HN";"11249"
"HU";"9303"
"IS";"10300"
"IN";"328726"
"ID";"191093"
"IR";"174515"
"IQ";"43524"
"IE";"7028"
"IM";"57"
"IL";"2207"
"IT";"30134"
"JM";"1099"
"JP";"37795,5"
"JO";"8932"
"KZ";"272490,2"
"KE";"58037"
"KI";"81"
"KW";"1782"
"KG";"19994,9"
"LA";"23680"
"LV";"6448"
"LB";"1045"
"LS";"3036"
"LR";"11137"
"LY";"175954"
"LI";"16"
"LT";"6530"
"LU";"259"
"MG";"58729,5"
"MW";"11848"
"MY";"33080"
"MV";"30"
"ML";"124019"
"MT";"32"
"MH";"18"
"MQ";"113"
"MR";"103070"
"MU";"204"
"YT";"37,4"
"MX";"196438"
"FM";"70"
"MN";"156412"
"ME";"1381"
"MS";"10"
"MA";"44655"
"MZ";"79938"
"MM";"67659"
"NA";"82429"
"NR";"2"
"NP";"14718"
"NL";"4154"
"NC";"1858"
"NZ";"26771"
"NI";"13037"
"NE";"126700"
"NG";"92377"
"NU";"26"
"NF";"4"
"MP";"46"
"NO";"38517,8"
"OM";"30950"
"PK";"79610"
"PW";"46"
"PA";"7542"
"PG";"46284"
"PY";"40675,2"
"PE";"128522"
"PH";"30000"
"PN";"4,7"
"PL";"31268"
"PT";"9221"
"PR";"887"
"QA";"1161"
"KR";"10003"
"MD";"3385"
"RE";"251"
"RO";"23839"
"RU";"1709825"
"RW";"2634"
"SH";"39"
"KN";"26"
"LC";"62"
"PM";"24"
"VC";"39"
"WS";"284"
"SM";"6"
"ST";"96"
"SA";"214969"
"SN";"19671"
"RS";"8836"
"SC";"46"
"SL";"7230"
"SG";"71,4"
"SK";"4903,6"
"SI";"2027"
"SB";"2890"
"SO";"63766"
"ZA";"121909"
"SS";"99999999999998"
"ES";"50560"
"LK";"6561"
"SD";"99999999999998"
"SR";"16382"
"SZ";"1736"
"SE";"45030"
"CH";"4129"
"SY";"18518"
"TJ";"14255"
"TH";"51312"
"MK";"2571"
"TL";"1487"
"TG";"5679"
"TK";"1"
"TO";"75"
"TT";"513"
"TN";"16361"
"TR";"78535"
"TM";"48810"
"TC";"95"
"TV";"3"
"UG";"24155"
"UA";"60355"
"AE";"8360"
"GB";"24361"
"TZ";"94730"
"US";"983151"
"VI";"35"
"UY";"17622"
"UZ";"44740"
"VU";"1219"
"VE";"91205"
"VN";"33095,7"
"WF";"14"
"EH";"26600"
"YE";"52797"
"ZM";"75261"
"ZW";"39076"
